SNOWFLAKE_TABLE,ROLE_IN_DBM_REPORT,COLUMNS_USED_OR_CHECKED,ROW_COUNT,LAST_ALTERED,OUTPUT_FILES
PROD_DB.DBT.HOURLY_DEVICE_PING_INFLUX,Largest optical telemetry table. Used for daily optical min/avg/max and ping health.,"PARTNER_ID, DEVICE_ID, NAS_ID, DATE_IST, HOUR_START_IST, OPTICAL_MIN, OPTICAL_AVG, OPTICAL_MAX, TOTAL_PINGS_RECEIVED, TOTAL_PINGS_MISSED","165,526,317",2026-06-27 13:41:45.556000+05:30,dbm_hourly_device_ping_optical_daily.csv
PROD_DB.PUBLIC.ROUTER_DETAILS_AUDIT,Historical router power/change table. Included so audit depth is visible.,"device_id, nas_id, customer_id, partner_id, tx_power, rx_power, is_customer_active, is_plan_active, change_time","35,854,602",2026-06-27 10:01:12.530000+05:30,"dbm_relevant_network_table_counts.csv, dbm_signal_table_inventory.csv"
PROD_DB.DBT.TASKVANILLA_AUDIT,Installation/task event stream with captured optical power source and value.,"EVENT_NAME, ADDED_TIME, DEVICE_ID, DEVICEID, CONNECTIONTYPE, OPTICALPOWER, OPTICAL_POWER_SOURCE, ROUTER_MAC","21,235,871",2026-06-27 12:51:15.855000+05:30,dbm_taskvanilla_opticalpower_events.csv
PROD_DB.DBT.FCT_OPTICAL_SIGNAL,Main daily NAS optical dBm fact used for Good/Poor health and board-range OOR counts.,"NAS_ID, DATE_IST, AVG_OPTICAL_DBM, OPTICAL_READINGS, OPTICAL_HEALTH","9,039,555",2026-06-27 12:54:48.281000+05:30,"dbm_optical_signal_latest_health.csv, dbm_optical_signal_daily_trend.csv, dbm_optical_device_worst_sample.csv"
PROD_DB.DBT.AVG_OPTICAL_SIGNAL,Older/alternate daily optical dBm aggregate discovered in column scan.,"NAS_ID, DATE_IST, AVG_OPTICAL_DBM, OPTICAL_READINGS, OPTICAL_HEALTH","7,887,023",2026-06-11 12:07:47.130000+05:30,"dbm_signal_table_inventory.csv, dbm_sample_dbt_avg_optical_signal.csv"
PROD_DB.DYNAMODB.BOOKING,Booking source with ONT field distribution.,"ONT, DEVICE_ID","5,422,813",2026-06-27 13:40:04.742000+05:30,dbm_booking_ont_distribution.csv
PROD_DB.PUBLIC.ROUTER_DETAILS,Current router table with direct Rx/Tx power readings.,"device_id, nas_id, customer_id, partner_id, location, ping_in_24hrs, tx_power, rx_power, is_customer_active, is_plan_active, deleted, added_time, modified_time","323,951",2026-06-27 10:12:09.903000+05:30,"dbm_router_details_power_profile.csv, dbm_router_details_power_sample.csv"
PROD_DB.DYNAMODB.IN_P_INCENTIVE_PROCESSING_SCHEDULE,Install/incentive table with optical power measurement profile.,"DEVICE_ID, OPTICAL_POWER","175,281",2026-01-18 13:22:29.905000+05:30,dbm_incentive_optical_power_profile.csv
PROD_DB.DBT.PARTNER_JANAM_KUNDLI,Partner-level ONT/router rollup.,"ACTIVE_CUSTOMER_WITH_OPTICAL_POWER, TOTAL_DEVICES, TOTAL_ONTS, ACTIVE_ONTS, CHURNED_ONTS, PARTNER_OFFICE_ONTS, REPAIR_ONTS, TOTAL_ROUTERS, ACTIVE_ROUTERS","1,763",2026-06-27 13:05:00.077000+05:30,"dbm_partner_ont_rollup.csv, dbm_partner_ont_top.csv"
PROD_DB.DBT.FCT_OPTICAL_OOR_PCT,Daily out-of-range percent fact.,"DATE_IST, OOR_DEVICE_COUNT, TOTAL_DEVICES, OOR_PCT",89,2026-06-27 13:04:30.036000+05:30,dbm_optical_oor_pct_trend.csv
PROD_DB.PUBLIC.GX_ROUTER_HOURLY_DATA,Small router hourly Rx-power source discovered during scan.,"_TIME, DEVICE_ID, NAS_ID, PARTNER_ID, RX_POWER_AVG, RX_POWER_MAX, RX_POWER_MIN",8,2026-02-26 17:06:25.228000+05:30,dbm_gx_router_rx_power_daily.csv
